"id";"web";"url";"cliente_id";"ano";"servidor"
"1";"acolchados-patchwork.com";"http://www.acolchados-patchwork.com/";"1";NULL;"Pro"
"2";"acupuntura2000.es";"http://www.acupuntura2000.es/";"2";NULL;"Pro"
"3";"aerotecnica.es";"https://www.aerotecnica.es/";"3";NULL;"Pro"
"4";"agroser.es";"http://www.agroser.es/";"4";NULL;"Pro"
"5";"alcorcon-pintor.es";"http://www.alcorcon-pintor.es/";"5";NULL;"Pro"
"6";"aleahosteleria.com";"aleahosteleria.com/";"6";NULL;"Pro"
"7";"aluminios-hermanos-garcia.com";"aluminios-hermanos-garcia.com";"7";NULL;"Pro"
"8";"agenciayou.com";"http://www.agenciayou.com";"8";NULL;"pro"
"9";"alcersl.com/";"https://www.alcersl.com/";"9";NULL;"pro"
"10";"aluminios-infasa-madrid.com/";"https://www.aluminios-infasa-madrid.com/";"10";NULL;"pro"
"11";"alvaroybarra.com/";"https://www.alvaroybarra.com/";"11";"2018-10-01";"pro"
"12";"anfer-rehabilitaciones.es/";"http://www.anfer-rehabilitaciones.es/";"12";NULL;"pro"
"13";"animacionesinfantilesmadrid.es/";"https://www.animacionesinfantilesmadrid.es/";"13";NULL;"pro"
"14";"area-proyectos.es";"https://www.area-proyectos.es";"14";NULL;"pro"
"15";"argumosamotor.es/";"http://www.argumosamotor.es/";"15";NULL;"pro"
"16";"artextpaisajismo.com/";"https://www.artextpaisajismo.com/";"16";NULL;"pro"
"17";"autocares-amartin.com/";"http://www.autocares-amartin.com/";"17";NULL;"pro"
"18";"azulejospena.es/";"https://www.azulejospena.es/";"18";NULL;"pro"
"19";"bellezaenvena.com";"http://www.bellezaenvena.com";"19";NULL;"pro"
"20";"bioclever.com";"https://www.bioclever.com";"20";NULL;"pro"
"21";"bricolajerodil.es/";"http://www.bricolajerodil.es/";"21";NULL;"pro"
"22";"bronces-bernaltolmo.es/";"https://www.bronces-bernaltolmo.es/";"22";NULL;"pro"
"23";"btob.es";"https://www.btob.es";"23";NULL;"pro"
"24";"bufetevarasmoreno.com/";"http://www.bufetevarasmoreno.com/";"24";NULL;"pro"
"25";"caldereria-caldetec.es/";"https://www.caldereria-caldetec.es/";"25";"2018-12-17";"pro"
"26";"calmajewels.com/";"https://www.calmajewels.com/";"26";"2019-02-06";"pro"
"27";"calzado-ortopie.es/";"https://www.calzado-ortopie.es/";"27";NULL;"pro"
"28";"caminos-viexcom-excavaciones.com/";"http://www.caminos-viexcom-excavaciones.com/";"28";NULL;"pro"
"29";"canadian-house.es/";"https://www.canadian-house.es/";"29";"2019-02-20";"pro"
"30";"carnisseria-marmi.com/";"http://www.carnisseria-marmi.com/";"30";NULL;"pro"
"31";"carpinteria-madera-gonzalezcolas.com/";"http://www.carpinteria-madera-gonzalezcolas.com/";"31";NULL;"pro"
"32";"carrocerias-aguilar.com/";"http://www.carrocerias-aguilar.com/";"32";"2018-12-20";"pro"
"33";"catering-baru.es/";"https://www.catering-baru.es/";"33";NULL;"pro"
"34";"cateringencasa.com/";"https://www.cateringencasa.com/";"33";"2017-11-06";"pro"
"35";"chatarreros-madrid.com/";"https://www.chatarreros-madrid.com/";"35";NULL;"pro"
"36";"comercialdiazsa.com/";"http://www.comercialdiazsa.com/";"36";"2018-11-13";"pro"
"37";"comercialsermasa.com";"https://www.comercialsermasa.com";"37";NULL;"pro"
"38";"construcciones-coroan-madrid.com/";"https://www.construcciones-coroan-madrid.com/";"38";"2018-08-20";"pro"
"39";"construccionesjeanjeconejo.com/";"https://www.construccionesjeanjeconejo.com/";"39";NULL;"pro"
"40";"cristaleria-artecristal.es/";"http://www.cristaleria-artecristal.es/";"40";NULL;"pro"
